t S E I R D
0 98 0 2 0 0
0.125 98 0 2 0 0
0.25 97 1 2 0 0
0.375 97 1 2 0 0
0.5 97 1 2 0 0
0.625 97 1 2 0 0
0.75 97 1 2 0 0
0.875 97 1 2 0 0
1 97 1 2 0 0
1.125 97 1 2 0 0
1.25 96 2 1 1 0
1.375 96 2 1 1 0
1.5 96 2 1 1 0
1.625 96 2 1 1 0
1.75 96 2 1 1 0
1.875 96 2 1 1 0
2 96 2 1 1 0
2.125 96 2 1 1 0
2.25 96 2 1 1 0
2.375 96 2 1 1 0
2.5 96 2 1 1 0
2.625 96 2 1 1 0
2.75 96 1 2 1 0
2.875 96 1 2 1 0
3 96 1 2 1 0
3.125 95 2 2 1 0
3.25 95 2 2 1 0
3.375 95 2 2 1 0
3.5 95 2 2 1 0
3.625 95 2 2 1 0
3.75 95 2 2 1 0
3.875 95 2 2 1 0
4 94 3 2 1 0
4.125 93 3 3 1 0
4.25 93 3 3 1 0
4.375 93 2 4 1 0
4.5 93 2 4 1 0
4.625 93 2 4 1 0
4.75 93 2 4 1 0
4.875 92 3 4 1 0
5 92 2 5 1 0
5.125 92 2 5 1 0
5.25 92 2 5 1 0
5.375 92 2 5 1 0
5.5 91 3 5 1 0
5.625 90 4 3 3 0
5.75 89 5 3 3 0
5.875 89 5 3 3 0
6 89 5 3 3 0
6.125 89 5 2 4 0
6.25 88 4 4 4 0
6.375 88 4 4 4 0
6.5 88 3 5 4 0
6.625 87 3 6 4 0
6.75 86 4 6 4 0
6.875 86 4 6 4 0
7 86 3 7 4 0
7.125 86 3 7 4 0
7.25 86 3 6 5 0
7.375 86 3 6 5 0
7.5 85 4 6 5 0
7.625 84 5 6 5 0
7.75 82 6 7 5 0
7.875 82 6 7 5 0
8 81 6 8 5 0
8.125 80 7 8 5 0
8.25 79 8 8 5 0
8.375 78 8 9 5 0
8.5 78 8 9 5 0
8.625 78 7 10 5 0
8.75 77 8 10 5 0
8.875 74 11 9 6 0
9 74 10 10 6 0
9.125 73 9 12 6 0
9.25 73 9 12 6 0
9.375 72 8 14 6 0
9.5 71 9 14 6 0
9.625 70 9 14 7 0
9.75 69 10 14 7 0
9.875 69 10 14 7 0
10 68 11 14 7 0
10.125 67 12 14 7 0
10.25 66 12 15 7 0
10.375 66 11 16 7 0
10.5 65 11 17 7 0
10.625 63 12 17 8 0
10.75 61 14 17 8 0
10.875 56 19 16 9 0
11 56 16 19 9 0
11.125 56 16 18 10 0
11.25 55 17 17 11 0
11.375 54 18 17 11 0
11.5 53 17 19 11 0
11.625 52 18 19 11 0
11.75 50 19 18 13 0
11.875 49 19 18 14 0
12 47 18 21 14 0
12.125 47 16 23 14 0
12.25 47 14 25 14 0
12.375 44 17 24 15 0
12.5 44 17 24 15 0
12.625 44 15 26 15 0
12.75 44 15 26 15 0
12.875 44 15 25 16 0
13 42 16 25 17 0
13.125 42 15 26 17 0
13.25 41 15 27 17 0
13.375 39 17 27 17 0
13.5 39 16 28 17 0
13.625 39 15 28 18 0
13.75 38 15 28 19 0
13.875 37 12 32 19 0
14 36 12 33 19 0
14.125 35 13 33 19 0
14.25 33 14 33 20 0
14.375 32 15 33 20 0
14.5 31 15 33 21 0
14.625 29 17 31 23 0
14.75 27 18 32 23 0
14.875 26 18 32 24 0
15 24 19 33 24 0
15.125 24 18 33 25 0
15.25 23 19 33 25 0
15.375 23 18 34 25 0
15.5 21 19 33 27 0
15.625 21 16 35 28 0
15.75 21 15 32 32 0
15.875 20 14 34 32 0
16 20 14 34 32 0
16.125 20 13 35 32 0
16.25 20 11 37 32 0
16.375 19 12 35 34 0
16.5 17 13 36 34 0
16.625 17 11 38 34 0
16.75 17 11 38 34 0
16.875 17 11 38 34 0
17 17 10 38 35 0
17.125 17 9 38 36 0
17.25 16 8 39 37 0
17.375 14 9 40 37 0
17.5 14 9 40 37 0
17.625 13 10 40 37 0
17.75 13 9 40 38 0
17.875 11 10 38 41 0
18 11 9 38 42 0
18.125 11 8 37 44 0
18.25 11 5 40 44 0
18.375 11 5 40 44 0
18.5 11 4 41 44 0
18.625 11 4 40 45 0
18.75 11 3 41 45 0
18.875 11 2 42 45 0
19 10 3 41 46 0
19.125 10 3 41 46 0
19.25 10 3 41 46 0
19.375 10 3 40 47 0
19.5 9 4 40 47 0
19.625 9 3 39 49 0
19.75 9 3 38 50 0
19.875 9 3 38 50 0
20 9 2 39 50 0
20.125 9 2 39 50 0
20.25 8 3 39 50 0
20.375 8 3 38 51 0
20.5 8 3 38 51 0
20.625 8 3 37 52 0
20.75 7 4 37 52 0
20.875 7 4 37 52 0
21 7 4 37 52 0
21.125 7 4 37 52 0
21.25 7 4 36 53 0
21.375 7 4 35 54 0
21.5 7 4 34 55 0
21.625 7 4 34 55 0
21.75 7 3 35 55 0
21.875 7 2 35 56 0
22 7 1 35 57 0
22.125 7 1 33 59 0
22.25 7 1 33 59 0
22.375 7 1 33 59 0
22.5 7 1 33 59 0
22.625 7 0 34 59 0
22.75 7 0 34 59 0
22.875 7 0 33 60 0
23 7 0 31 62 0
23.125 7 0 31 62 0
23.25 7 0 31 62 0
23.375 7 0 31 62 0
23.5 7 0 31 62 0
23.625 7 0 30 63 0
23.75 7 0 29 64 0
23.875 7 0 28 65 0
24 7 0 25 68 0
24.125 7 0 25 68 0
24.25 7 0 25 68 0
24.375 7 0 24 69 0
24.5 7 0 22 71 0
24.625 7 0 22 71 0
24.75 7 0 22 71 0
24.875 7 0 22 71 0
25 7 0 22 71 0
25.125 7 0 21 72 0
25.25 7 0 20 73 0
25.375 7 0 19 74 0
25.5 7 0 18 75 0
25.625 7 0 18 75 0
25.75 7 0 18 75 0
25.875 7 0 18 75 0
26 7 0 18 75 0
26.125 7 0 18 75 0
26.25 7 0 17 76 0
26.375 7 0 17 76 0
26.5 7 0 17 76 0
26.625 7 0 16 77 0
26.75 7 0 16 77 0
26.875 7 0 16 77 0
27 7 0 16 77 0
27.125 7 0 14 79 0
27.25 7 0 14 79 0
27.375 7 0 14 79 0
27.5 7 0 14 79 0
27.625 7 0 13 80 0
27.75 7 0 13 80 0
27.875 7 0 13 80 0
28 7 0 13 80 0
28.125 7 0 13 80 0
28.25 7 0 13 80 0
28.375 7 0 13 80 0
28.5 7 0 13 80 0
28.625 7 0 11 82 0
28.75 7 0 11 82 0
28.875 7 0 11 82 0
29 7 0 11 82 0
29.125 7 0 10 83 0
29.25 7 0 10 83 0
29.375 7 0 10 83 0
29.5 7 0 10 83 0
29.625 7 0 10 83 0
29.75 7 0 10 83 0
29.875 7 0 10 83 0
30 7 0 9 84 0
30.125 7 0 9 84 0
30.25 7 0 7 86 0
30.375 7 0 7 86 0
30.5 7 0 7 86 0
30.625 7 0 7 86 0
30.75 7 0 7 86 0
30.875 7 0 7 86 0
31 7 0 7 86 0
31.125 7 0 6 87 0
31.25 7 0 5 88 0
31.375 7 0 5 88 0
31.5 7 0 5 88 0
31.625 7 0 5 88 0
31.75 7 0 5 88 0
31.875 7 0 4 89 0
32 7 0 4 89 0
32.125 7 0 4 89 0
32.25 7 0 3 90 0
32.375 7 0 3 90 0
32.5 7 0 3 90 0
32.625 7 0 3 90 0
32.75 7 0 2 91 0
32.875 7 0 1 92 0
33 7 0 1 92 0
33.125 7 0 1 92 0
33.25 7 0 1 92 0
33.375 7 0 1 92 0
33.5 7 0 1 92 0
33.625 7 0 1 92 0
33.75 7 0 1 92 0
33.875 7 0 1 92 0
34 7 0 1 92 0
34.125 7 0 1 92 0
34.25 7 0 1 92 0
34.375 7 0 1 92 0
34.5 7 0 1 92 0
34.625 7 0 1 92 0
