t S E I R D
0 98 0 2 0 0
0.125 97 1 2 0 0
0.25 97 1 2 0 0
0.375 97 1 2 0 0
0.5 97 1 2 0 0
0.625 97 1 2 0 0
0.75 97 1 2 0 0
0.875 97 1 2 0 0
1 97 1 2 0 0
1.125 97 1 2 0 0
1.25 97 1 2 0 0
1.375 97 1 2 0 0
1.5 97 1 2 0 0
1.625 97 1 2 0 0
1.75 97 1 2 0 0
1.875 97 1 2 0 0
2 97 1 2 0 0
2.125 97 1 2 0 0
2.25 96 2 2 0 0
2.375 96 2 2 0 0
2.5 96 2 2 0 0
2.625 96 2 2 0 0
2.75 96 2 2 0 0
2.875 96 2 2 0 0
3 96 2 2 0 0
3.125 96 2 1 1 0
3.25 95 3 1 1 0
3.375 95 3 1 1 0
3.5 95 3 1 1 0
3.625 95 3 1 1 0
3.75 95 3 1 1 0
3.875 95 3 1 1 0
4 95 3 1 1 0
4.125 95 2 2 1 0
4.25 95 2 2 1 0
4.375 95 2 2 1 0
4.5 95 2 2 1 0
4.625 94 2 3 1 0
4.75 93 3 3 1 0
4.875 93 3 3 1 0
5 93 3 3 1 0
5.125 93 3 3 1 0
5.25 93 3 3 1 0
5.375 93 3 3 1 0
5.5 93 3 3 1 0
5.625 92 4 2 2 0
5.75 92 4 2 2 0
5.875 88 8 2 2 0
6 86 8 4 2 0
6.125 86 8 4 2 0
6.25 85 9 4 2 0
6.375 85 9 4 2 0
6.5 83 10 5 2 0
6.625 83 8 7 2 0
6.75 82 8 7 3 0
6.875 79 11 7 3 0
7 73 16 8 3 0
7.125 71 16 10 3 0
7.25 69 16 12 3 0
7.375 69 16 12 3 0
7.5 68 15 14 3 0
7.625 68 12 17 3 0
7.75 68 12 17 3 0
7.875 67 11 18 4 0
8 66 12 18 4 0
8.125 65 11 20 4 0
8.25 63 11 21 5 0
8.375 62 11 22 5 0
8.5 60 13 20 7 0
8.625 58 14 21 7 0
8.75 57 15 21 7 0
8.875 57 15 20 8 0
9 57 14 21 8 0
9.125 56 14 22 8 0
9.25 53 17 22 8 0
9.375 52 17 22 9 0
9.5 51 16 23 10 0
9.625 50 16 24 10 0
9.75 50 16 24 10 0
9.875 49 16 24 10 1
10 48 13 27 11 1
10.125 48 13 27 11 1
10.25 48 13 26 12 1
10.375 48 13 25 13 1
10.5 48 13 25 13 1
10.625 48 12 25 14 1
10.75 48 11 25 15 1
10.875 48 10 26 15 1
11 48 10 26 15 1
11.125 48 8 27 16 1
11.25 48 6 27 18 1
11.375 48 5 28 18 1
11.5 48 5 26 20 1
11.625 48 5 26 20 1
11.75 48 4 27 20 1
11.875 48 4 27 20 1
12 48 4 26 21 1
12.125 48 4 23 24 1
12.25 48 3 24 24 1
12.375 48 2 24 25 1
12.5 48 2 24 25 1
12.625 48 2 22 27 1
12.75 48 2 22 27 1
12.875 48 2 22 27 1
13 48 2 22 27 1
13.125 48 2 21 28 1
13.25 48 2 21 28 1
13.375 48 2 21 28 1
13.5 48 2 21 28 1
13.625 48 2 21 28 1
13.75 48 2 21 28 1
13.875 48 1 22 28 1
14 48 1 21 29 1
14.125 48 1 21 29 1
14.25 48 1 21 29 1
14.375 48 1 20 30 1
14.5 48 1 20 30 1
14.625 48 1 20 30 1
14.75 48 1 20 30 1
14.875 48 1 20 30 1
15 48 1 20 30 1
15.125 48 1 19 31 1
15.25 48 1 19 31 1
15.375 48 1 18 32 1
15.5 48 1 17 33 1
15.625 48 1 17 33 1
15.75 48 1 17 33 1
15.875 48 1 17 33 1
16 48 1 17 33 1
16.125 48 0 18 33 1
16.25 48 0 18 33 1
16.375 48 0 18 33 1
16.5 48 0 17 34 1
16.625 48 0 16 35 1
16.75 48 0 15 36 1
16.875 48 0 15 36 1
17 48 0 15 36 1
17.125 48 0 15 36 1
17.25 48 0 15 36 1
17.375 48 0 15 36 1
17.5 48 0 15 36 1
17.625 48 0 15 36 1
17.75 48 0 15 36 1
17.875 48 0 15 36 1
18 48 0 15 36 1
18.125 48 0 14 37 1
18.25 48 0 14 37 1
18.375 48 0 13 38 1
18.5 48 0 13 38 1
18.625 48 0 13 38 1
18.75 48 0 12 39 1
18.875 48 0 11 40 1
19 48 0 11 40 1
19.125 48 0 11 40 1
19.25 48 0 11 40 1
19.375 48 0 11 40 1
19.5 48 0 11 40 1
19.625 48 0 10 41 1
19.75 48 0 10 41 1
19.875 48 0 10 41 1
20 48 0 9 42 1
20.125 48 0 9 42 1
20.25 48 0 9 42 1
20.375 48 0 8 43 1
20.5 48 0 8 43 1
20.625 48 0 8 43 1
20.75 48 0 8 43 1
20.875 48 0 7 44 1
21 48 0 7 44 1
21.125 48 0 7 44 1
21.25 48 0 7 44 1
21.375 48 0 7 44 1
21.5 48 0 7 44 1
21.625 48 0 7 44 1
21.75 48 0 7 44 1
21.875 48 0 7 44 1
