t S E I R D
0 98 0 2 0 0
0.125 97 1 1 1 0
0.25 97 1 1 1 0
0.375 97 0 2 1 0
0.5 97 0 2 1 0
0.625 97 0 2 1 0
0.75 97 0 2 1 0
0.875 96 1 2 1 0
1 96 1 2 1 0
1.125 95 2 2 1 0
1.25 95 2 2 1 0
1.375 94 3 2 1 0
1.5 93 4 2 1 0
1.625 93 4 2 1 0
1.75 92 5 2 1 0
1.875 92 5 2 1 0
2 92 5 2 1 0
2.125 92 5 2 1 0
2.25 92 5 2 1 0
2.375 92 5 2 1 0
2.5 92 5 2 1 0
2.625 91 6 2 1 0
2.75 91 6 2 1 0
2.875 90 6 3 1 0
3 89 6 4 1 0
3.125 89 5 5 1 0
3.25 88 4 7 1 0
3.375 88 4 7 1 0
3.5 86 5 8 1 0
3.625 86 5 8 1 0
3.75 86 5 8 1 0
3.875 86 5 8 1 0
4 84 7 8 1 0
4.125 84 7 8 1 0
4.25 82 9 8 1 0
4.375 81 9 9 1 0
4.5 81 9 9 1 0
4.625 80 10 9 1 0
4.75 80 10 9 1 0
4.875 78 12 9 1 0
5 77 13 9 1 0
5.125 77 13 9 1 0
5.25 76 14 9 1 0
5.375 76 14 9 1 0
5.5 72 18 9 1 0
5.625 72 18 9 1 0
5.75 72 18 9 1 0
5.875 71 17 11 1 0
6 71 16 12 1 0
6.125 71 15 12 2 0
6.25 70 15 13 2 0
6.375 70 15 13 2 0
6.5 70 14 14 2 0
6.625 69 15 13 3 0
6.75 68 16 13 3 0
6.875 68 13 16 3 0
7 67 14 16 3 0
7.125 66 15 16 3 0
7.25 66 14 17 3 0
7.375 65 14 17 4 0
7.5 65 13 18 4 0
7.625 65 13 18 4 0
7.75 64 14 17 5 0
7.875 64 11 20 5 0
8 64 11 20 5 0
8.125 62 13 20 5 0
8.25 62 12 20 6 0
8.375 61 10 22 7 0
8.5 61 10 22 7 0
8.625 60 11 21 8 0
8.75 60 10 22 8 0
8.875 59 11 22 8 0
9 57 11 24 8 0
9.125 57 10 24 9 0
9.25 57 9 25 9 0
9.375 57 9 25 9 0
9.5 55 11 25 9 0
9.625 53 12 25 10 0
9.75 52 12 25 11 0
9.875 51 13 25 11 0
10 50 14 25 11 0
10.125 50 14 23 13 0
10.25 49 13 24 14 0
10.375 47 15 24 14 0
10.5 47 14 25 14 0
10.625 47 13 26 14 0
10.75 47 11 28 14 0
10.875 46 11 29 14 0
11 46 10 30 14 0
11.125 46 8 30 16 0
11.25 46 8 30 16 0
11.375 44 10 29 17 0
11.5 44 10 29 17 0
11.625 43 11 28 18 0
11.75 43 11 28 18 0
11.875 43 10 29 18 0
12 42 9 29 20 0
12.125 42 9 29 20 0
12.25 42 9 27 22 0
12.375 42 8 25 25 0
12.5 41 8 26 25 0
12.625 41 8 25 26 0
12.75 41 7 24 28 0
12.875 40 8 23 29 0
13 37 11 23 29 0
13.125 35 13 23 29 0
13.25 35 13 22 30 0
