t S E I R D
0 98 0 2 0 0
0.125 97 1 2 0 0
0.25 96 2 2 0 0
0.375 95 3 2 0 0
0.5 95 2 3 0 0
0.625 95 2 3 0 0
0.75 95 2 3 0 0
0.875 95 2 3 0 0
1 93 4 3 0 0
1.125 93 4 3 0 0
1.25 93 4 2 1 0
1.375 92 5 2 1 0
1.5 91 6 2 1 0
1.625 91 6 2 1 0
1.75 90 7 2 1 0
1.875 88 7 4 1 0
2 88 7 4 1 0
2.125 88 7 4 1 0
2.25 88 6 5 1 0
2.375 86 8 5 1 0
2.5 85 8 6 1 0
2.625 81 12 6 1 0
2.75 80 11 7 2 0
2.875 77 13 8 2 0
3 75 13 10 2 0
3.125 74 14 10 2 0
3.25 72 14 12 2 0
3.375 71 15 11 3 0
3.5 69 16 12 3 0
3.625 69 15 10 6 0
3.75 69 14 11 6 0
3.875 69 13 12 6 0
4 69 12 13 6 0
4.125 69 10 14 7 0
4.25 67 11 15 7 0
4.375 66 11 16 7 0
4.5 61 16 15 8 0
4.625 61 15 16 8 0
4.75 58 16 18 8 0
4.875 57 15 19 9 0
5 57 15 19 9 0
5.125 55 16 20 9 0
5.25 53 17 21 9 0
5.375 53 17 21 9 0
5.5 50 19 22 9 0
5.625 49 18 24 9 0
5.75 49 18 24 9 0
5.875 48 17 26 9 0
6 48 15 28 9 0
6.125 46 17 25 12 0
6.25 45 16 27 12 0
6.375 44 16 27 13 0
6.5 44 16 27 13 0
6.625 42 18 26 14 0
6.75 42 16 28 14 0
6.875 40 16 29 15 0
7 40 16 28 16 0
7.125 38 16 30 16 0
7.25 38 15 31 16 0
7.375 36 16 32 16 0
7.5 36 16 32 16 0
7.625 35 17 31 17 0
7.75 34 17 32 17 0
7.875 31 19 32 18 0
8 29 20 32 19 0
8.125 29 17 35 19 0
8.25 29 16 34 21 0
8.375 29 16 33 22 0
8.5 28 16 33 23 0
8.625 27 15 35 23 0
8.75 27 15 34 24 0
8.875 27 14 34 25 0
9 25 16 34 25 0
9.125 24 16 35 25 0
9.25 23 14 37 26 0
9.375 23 13 38 26 0
9.5 23 10 41 26 0
9.625 23 10 41 26 0
9.75 22 11 40 27 0
9.875 22 11 38 29 0
10 20 13 37 30 0
10.125 20 12 36 32 0
10.25 19 13 36 32 0
10.375 19 13 36 32 0
10.5 18 13 35 34 0
10.625 18 11 36 35 0
10.75 18 11 36 35 0
10.875 18 11 36 35 0
11 17 10 37 36 0
11.125 17 9 37 37 0
11.25 16 10 37 37 0
11.375 16 10 37 37 0
11.5 16 10 37 37 0
11.625 16 10 37 37 0
11.75 16 10 36 38 0
11.875 16 9 35 40 0
12 16 9 34 41 0
12.125 16 9 34 41 0
12.25 16 8 35 41 0
12.375 16 4 39 41 0
12.5 15 5 38 42 0
12.625 15 5 37 43 0
12.75 14 6 36 44 0
12.875 13 7 35 45 0
13 13 7 35 45 0
13.125 13 7 34 46 0
13.25 13 6 35 46 0
13.375 13 6 34 47 0
13.5 13 6 33 48 0
13.625 13 6 33 48 0
13.75 13 6 32 49 0
13.875 13 5 32 50 0
14 13 5 30 52 0
14.125 13 4 31 52 0
14.25 13 4 30 53 0
14.375 13 3 30 54 0
14.5 13 3 30 54 0
14.625 12 4 30 54 0
14.75 12 4 30 54 0
14.875 12 4 30 54 0
15 12 4 29 55 0
15.125 12 4 26 58 0
15.25 12 4 26 58 0
15.375 12 3 27 58 0
15.5 12 3 27 58 0
15.625 12 3 26 59 0
15.75 12 2 27 59 0
15.875 12 2 26 60 0
16 12 2 26 60 0
16.125 12 2 26 60 0
16.25 12 2 26 60 0
16.375 11 2 27 60 0
16.5 11 2 26 61 0
16.625 11 2 26 61 0
16.75 11 2 26 61 0
16.875 11 2 26 61 0
17 11 2 25 62 0
17.125 11 2 25 62 0
17.25 10 3 24 63 0
17.375 10 2 23 65 0
17.5 10 2 23 65 0
17.625 10 1 24 65 0
17.75 10 1 24 65 0
17.875 10 1 23 66 0
18 10 1 23 66 0
18.125 10 1 23 66 0
18.25 10 1 23 66 0
18.375 10 1 23 66 0
18.5 10 1 23 66 0
18.625 10 1 23 66 0
18.75 10 1 22 67 0
18.875 10 1 22 67 0
19 10 1 21 68 0
19.125 10 0 20 70 0
19.25 10 0 20 70 0
19.375 10 0 20 70 0
19.5 10 0 19 71 0
19.625 10 0 19 71 0
19.75 10 0 17 73 0
19.875 10 0 17 73 0
20 10 0 17 73 0
20.125 10 0 16 74 0
20.25 10 0 15 75 0
20.375 10 0 15 75 0
20.5 10 0 15 75 0
20.625 10 0 15 75 0
20.75 10 0 15 75 0
20.875 10 0 15 75 0
21 10 0 15 75 0
21.125 10 0 15 75 0
21.25 10 0 15 75 0
21.375 9 1 15 75 0
21.5 9 1 14 76 0
21.625 9 1 14 76 0
21.75 9 1 14 76 0
21.875 9 1 14 76 0
