t S E I R D
0 98 0 2 0 0
0.125 98 0 1 1 0
0.25 98 0 1 1 0
0.375 98 0 1 1 0
0.5 98 0 1 1 0
0.625 98 0 1 1 0
0.75 97 1 1 1 0
0.875 97 1 1 1 0
1 97 1 1 1 0
1.125 97 1 1 1 0
1.25 97 1 1 1 0
1.375 97 1 1 1 0
1.5 97 1 1 1 0
1.625 97 1 1 1 0
1.75 96 2 1 1 0
1.875 96 1 2 1 0
2 96 1 2 1 0
2.125 96 1 2 1 0
2.25 96 1 2 1 0
2.375 96 1 2 1 0
2.5 96 1 2 1 0
2.625 96 1 2 1 0
2.75 93 4 2 1 0
2.875 92 5 2 1 0
3 92 5 2 1 0
3.125 92 5 2 1 0
3.25 92 5 2 1 0
3.375 92 4 3 1 0
3.5 92 4 3 1 0
3.625 92 3 4 1 0
3.75 92 2 5 1 0
3.875 92 2 4 2 0
4 92 2 4 2 0
4.125 91 3 4 2 0
4.25 91 3 4 2 0
4.375 91 2 5 2 0
4.5 91 2 5 2 0
4.625 91 2 4 3 0
4.75 91 2 4 3 0
4.875 90 2 5 3 0
5 90 2 5 3 0
5.125 89 3 5 3 0
5.25 88 4 5 3 0
5.375 88 2 7 3 0
5.5 88 2 7 3 0
5.625 88 2 7 3 0
5.75 88 2 7 3 0
5.875 88 2 7 3 0
6 86 4 6 4 0
6.125 85 5 6 4 0
6.25 84 6 6 4 0
6.375 83 6 7 4 0
6.5 83 6 7 4 0
6.625 83 4 9 4 0
6.75 82 5 9 4 0
6.875 80 7 9 4 0
7 80 7 9 4 0
7.125 80 6 10 4 0
7.25 80 6 10 4 0
7.375 80 6 10 4 0
7.5 79 7 10 4 0
7.625 77 9 9 5 0
7.75 77 7 11 5 0
7.875 77 7 10 6 0
8 77 5 12 6 0
8.125 77 5 12 6 0
8.25 76 5 13 6 0
8.375 74 7 12 7 0
8.5 74 6 13 7 0
8.625 71 9 12 8 0
8.75 70 8 14 8 0
8.875 68 9 15 8 0
9 67 10 15 8 0
9.125 67 10 15 8 0
9.25 66 11 15 8 0
9.375 64 13 15 8 0
9.5 63 14 14 9 0
9.625 63 14 14 9 0
9.75 63 13 14 10 0
9.875 60 16 13 11 0
10 59 16 14 11 0
10.125 59 16 14 11 0
10.25 59 15 14 12 0
10.375 58 16 13 13 0
10.5 56 18 13 13 0
10.625 55 18 14 13 0
10.75 54 16 17 13 0
10.875 52 17 18 13 0
11 52 17 18 13 0
11.125 51 18 18 13 0
11.25 49 19 19 13 0
11.375 44 24 17 15 0
11.5 44 24 16 16 0
11.625 44 24 16 16 0
11.75 43 21 19 17 0
11.875 43 20 20 17 0
12 43 19 20 18 0
12.125 42 18 22 18 0
12.25 42 18 22 18 0
12.375 39 21 22 18 0
12.5 39 19 24 18 0
12.625 39 19 24 18 0
12.75 39 18 24 19 0
12.875 39 16 26 19 0
13 38 16 27 19 0
13.125 37 16 27 20 0
13.25 36 14 30 20 0
13.375 36 13 31 20 0
13.5 36 12 30 22 0
13.625 35 10 33 22 0
13.75 35 10 33 22 0
13.875 35 7 36 22 0
14 35 6 37 22 0
14.125 33 7 38 22 0
14.25 30 9 38 23 0
14.375 30 9 36 24 1
14.5 30 8 36 25 1
14.625 30 8 36 25 1
14.75 30 6 38 25 1
14.875 30 6 38 25 1
15 30 6 38 25 1
15.125 30 6 36 27 1
15.25 30 6 36 27 1
15.375 30 5 35 29 1
15.5 30 5 35 29 1
15.625 30 4 36 29 1
15.75 30 4 34 31 1
15.875 30 4 34 31 1
16 30 4 34 31 1
16.125 30 3 35 31 1
16.25 30 3 34 32 1
16.375 30 1 35 33 1
16.5 30 1 34 34 1
16.625 30 1 34 34 1
16.75 30 0 33 36 1
16.875 30 0 31 38 1
17 30 0 30 39 1
17.125 30 0 30 39 1
17.25 30 0 30 39 1
17.375 30 0 30 39 1
17.5 30 0 29 40 1
17.625 30 0 28 41 1
17.75 30 0 28 41 1
17.875 30 0 28 41 1
18 30 0 28 41 1
18.125 30 0 28 41 1
18.25 30 0 25 44 1
18.375 30 0 24 45 1
18.5 30 0 23 46 1
18.625 30 0 22 47 1
18.75 30 0 21 47 2
18.875 30 0 21 47 2
19 30 0 21 47 2
19.125 30 0 20 48 2
19.25 30 0 20 48 2
19.375 30 0 20 48 2
19.5 30 0 20 48 2
19.625 30 0 20 48 2
19.75 30 0 20 48 2
19.875 30 0 20 48 2
20 30 0 19 49 2
20.125 30 0 18 50 2
20.25 30 0 18 50 2
20.375 30 0 18 50 2
20.5 30 0 18 50 2
20.625 30 0 18 50 2
20.75 30 0 18 50 2
20.875 30 0 17 51 2
21 30 0 17 51 2
21.125 30 0 16 52 2
21.25 30 0 16 52 2
21.375 30 0 15 53 2
21.5 30 0 15 53 2
21.625 30 0 15 53 2
21.75 30 0 15 53 2
21.875 30 0 14 54 2
22 30 0 14 54 2
22.125 30 0 14 54 2
22.25 30 0 14 54 2
22.375 30 0 13 55 2
22.5 30 0 13 55 2
22.625 30 0 13 55 2
22.75 30 0 13 55 2
22.875 30 0 12 56 2
23 30 0 11 57 2
23.125 30 0 11 57 2
23.25 30 0 10 58 2
23.375 30 0 10 58 2
23.5 30 0 9 59 2
23.625 30 0 9 59 2
23.75 30 0 9 59 2
23.875 30 0 9 59 2
24 30 0 9 59 2
24.125 30 0 9 59 2
24.25 30 0 9 59 2
24.375 30 0 9 59 2
24.5 30 0 9 59 2
24.625 30 0 8 60 2
24.75 30 0 8 60 2
24.875 30 0 8 60 2
25 30 0 8 60 2
25.125 30 0 7 61 2
