t S E I R D
0 49998 0 2 0 0
0.125 49998 0 2 0 0
0.25 49998 0 2 0 0
0.375 49998 0 2 0 0
0.5 49997 1 2 0 0
0.625 49997 1 2 0 0
0.75 49997 1 2 0 0
0.875 49997 1 2 0 0
1 49997 1 2 0 0
1.125 49997 1 2 0 0
1.25 49997 1 2 0 0
1.375 49997 1 2 0 0
1.5 49997 1 2 0 0
1.625 49997 1 2 0 0
1.75 49996 2 2 0 0
1.875 49996 2 2 0 0
2 49996 1 2 1 0
2.125 49996 1 2 1 0
2.25 49996 1 2 1 0
2.375 49996 1 2 1 0
2.5 49996 1 2 1 0
2.625 49996 1 1 2 0
2.75 49996 1 1 2 0
2.875 49996 1 1 2 0
3 49996 0 2 2 0
3.125 49996 0 2 2 0
3.25 49996 0 2 2 0
3.375 49996 0 2 2 0
3.5 49995 1 2 2 0
3.625 49994 2 2 2 0
3.75 49994 2 2 2 0
3.875 49994 2 2 2 0
4 49994 2 2 2 0
4.125 49994 2 2 2 0
4.25 49994 2 2 2 0
4.375 49993 3 2 2 0
4.5 49992 4 2 2 0
4.625 49992 3 3 2 0
4.75 49992 3 3 2 0
4.875 49992 3 3 2 0
5 49992 2 4 2 0
5.125 49991 3 4 2 0
5.25 49991 3 4 2 0
5.375 49991 2 5 2 0
5.5 49991 2 5 2 0
5.625 49990 3 5 2 0
5.75 49988 5 5 2 0
5.875 49986 7 5 2 0
6 49986 7 5 2 0
6.125 49986 7 4 3 0
6.25 49983 9 5 3 0
6.375 49983 8 5 4 0
6.5 49982 8 6 4 0
6.625 49981 9 6 4 0
6.75 49979 11 6 4 0
6.875 49979 10 7 4 0
7 49975 14 7 4 0
7.125 49974 15 7 4 0
7.25 49973 15 8 4 0
7.375 49970 17 9 4 0
7.5 49969 17 10 4 0
7.625 49965 17 14 4 0
7.75 49963 19 14 4 0
7.875 49958 23 15 4 0
8 49950 29 16 5 0
8.125 49944 34 17 5 0
8.25 49937 40 17 6 0
8.375 49933 41 20 6 0
8.5 49924 50 20 6 0
8.625 49916 55 23 6 0
8.75 49881 85 27 7 0
8.875 49858 101 33 8 0
9 49831 125 34 10 0
9.125 49796 153 41 10 0
9.25 49758 180 50 12 0
9.375 49718 216 54 12 0
9.5 49661 261 66 12 0
9.625 49618 289 80 13 0
9.75 49567 325 92 16 0
9.875 49514 351 119 16 0
10 49430 412 139 19 0
10.125 49327 493 158 22 0
10.25 49207 590 175 27 1
10.375 49083 668 216 32 1
10.5 48959 764 240 36 1
10.625 48806 861 291 41 1
10.75 48664 937 351 47 1
10.875 48509 1030 403 57 1
11 48335 1145 451 68 1
11.125 48168 1227 526 77 2
11.25 47988 1316 611 83 2
11.375 47792 1427 679 100 2
11.5 47559 1575 756 108 2
11.625 47289 1742 845 121 3
11.75 47013 1917 928 139 3
11.875 46737 2087 1016 157 3
12 46485 2216 1120 176 3
12.125 46213 2357 1223 204 3
12.25 45946 2463 1350 238 3
12.375 45558 2698 1475 266 3
12.5 45178 2911 1616 292 3
