t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9997 1 2 0 0
0.5 9996 2 2 0 0
0.625 9996 2 2 0 0
0.75 9996 2 2 0 0
0.875 9996 2 1 1 0
1 9996 2 1 1 0
1.125 9996 2 1 1 0
1.25 9996 2 1 1 0
1.375 9996 2 1 1 0
1.5 9995 3 1 1 0
1.625 9995 3 1 1 0
1.75 9995 3 1 1 0
1.875 9995 2 2 1 0
2 9995 2 2 1 0
2.125 9995 2 2 1 0
2.25 9994 3 2 1 0
2.375 9993 4 2 1 0
2.5 9993 3 3 1 0
2.625 9993 3 3 1 0
2.75 9992 4 3 1 0
2.875 9992 4 2 2 0
3 9992 4 2 2 0
3.125 9992 2 4 2 0
3.25 9991 3 4 2 0
3.375 9989 5 4 2 0
3.5 9987 6 5 2 0
3.625 9986 6 6 2 0
3.75 9986 5 7 2 0
3.875 9986 4 8 2 0
4 9986 3 9 2 0
4.125 9985 4 9 2 0
4.25 9983 6 9 2 0
4.375 9981 8 9 2 0
4.5 9981 7 10 2 0
4.625 9979 9 9 3 0
4.75 9977 11 9 3 0
4.875 9975 12 9 4 0
5 9973 14 8 5 0
5.125 9973 13 9 5 0
5.25 9969 16 10 5 0
5.375 9967 18 10 5 0
5.5 9966 17 11 6 0
5.625 9966 13 15 6 0
5.75 9962 16 16 6 0
5.875 9958 17 19 6 0
6 9957 18 19 6 0
6.125 9955 20 19 6 0
6.25 9952 23 19 6 0
6.375 9948 26 20 6 0
6.5 9944 28 22 6 0
6.625 9942 27 24 7 0
6.75 9938 31 23 8 0
6.875 9933 34 23 10 0
7 9923 42 24 11 0
7.125 9918 45 26 11 0
7.25 9911 48 30 11 0
7.375 9903 53 32 12 0
7.5 9891 63 33 13 0
7.625 9876 69 42 13 0
7.75 9862 81 44 13 0
7.875 9852 84 50 14 0
8 9837 93 55 15 0
8.125 9820 105 60 15 0
8.25 9800 122 62 16 0
8.375 9787 132 65 16 0
8.5 9768 140 75 17 0
