Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 14.46      1.81     1.81 1250024985     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
 14.22      3.59     1.78    49995     0.00     0.00  std::vector<Node*, std::allocator<Node*> > randomChoice<Node*>(std::vector<Node*, std::allocator<Node*> > const&, int, std::vector<double, std::allocator<double> >)
 11.78      5.07     1.48 1249975000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
 10.79      6.42     1.35 1402379992     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
 10.23      7.70     1.28    49995     0.00     0.00  double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double)
  9.91      8.94     1.24 2500049970     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  8.23      9.97     1.03 1249975000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  8.19     10.99     1.03 1401530067     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  4.39     11.54     0.55                             double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  2.80     11.89     0.35    49997     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  1.48     12.08     0.19        5     0.04     0.04  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  1.16     12.22     0.15    49995     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double>, double>::_S_select_on_copy(std::allocator<double> const&)
  0.88     12.33     0.11  6818384     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
